Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460559.843750000, , ,  33.813369419, -27.014596430,  1.45522448163964,-19.5364915,
2460559.875000000, , ,  33.809063604, -27.023200672,  1.45487258611536,-19.4578329,
2460559.906250000,A, ,  33.804763912, -27.031782415,  1.45452207948309,-19.3830245,
2460559.937500000,C, ,  33.800481890, -27.040343449,  1.45417286906507,-19.3146023,
2460559.968750000,*, ,  33.796227982, -27.048886447,  1.45382481850912,-19.2548543,
2460560.000000000,*, ,  33.792011121, -27.057414855,  1.45347775307228,-19.2057327,
2460560.031250000,*,m,  33.787838383, -27.065932769,  1.45313146638795,-19.1687784,
2460560.062500000,*,m,  33.783714711, -27.074444768,  1.45278572845494,-19.1450610,
2460560.093750000,*,m,  33.779642725, -27.082955743,  1.45244029453864,-19.1351382,
2460560.125000000,*,m,  33.775622615, -27.091470704,  1.45209491464043,-19.1390337,
2460560.156250000,*,m,  33.771652137, -27.099994591,  1.45174934316853,-19.1562371,
2460560.187500000,*,m,  33.767726693, -27.108532076,  1.45140334843677,-19.1857230,
2460560.218750000,*,m,  33.763839511, -27.117087386,  1.45105672162372,-19.2259912,
2460560.250000000,*,m,  33.759981904, -27.125664139,  1.45070928484631,-19.2751248,
2460560.281250000,*,m,  33.756143604, -27.134265202,  1.45036089803587,-19.3308640,
2460560.312500000,*,m,  33.752313161, -27.142892578,  1.45001146435108,-19.3906939,
2460560.343750000,*,m,  33.748478379, -27.151547329,  1.44966093391921,-19.4519418,
2460560.375000000,*,m,  33.744626793, -27.160229535,  1.44930930576091,-19.5118799,
2460560.406250000,*,m,  33.740746147, -27.168938286,  1.44895662782498,-19.5678317,
2460560.437500000,*,m,  33.736824867, -27.177671719,  1.44860299513153,-19.6172746,
2460560.468750000,N,m,  33.732852515, -27.186427086,  1.44824854609602,-19.6579380,
2460560.500000000, ,m,  33.728820185, -27.195200862,  1.44789345717601,-19.6878908,
2460560.531250000, ,m,  33.724720853, -27.203988879,  1.44753793604801,-19.7056158,
2460560.562500000, ,m,  33.720549650, -27.212786484,  1.44718221357805,-19.7100688,
2460560.593750000, , ,  33.716304049, -27.221588723,  1.44682653489641,-19.7007185,
2460560.625000000, , ,  33.711983967, -27.230390527,  1.44647114992194,-19.6775673,
2460560.656250000, , ,  33.707591767, -27.239186912,  1.44611630370176,-19.6411509,
2460560.687500000, , ,  33.703132172, -27.247973168,  1.44576222694063,-19.5925178,
2460560.718750000, , ,  33.698612079, -27.256745044,  1.44540912708555,-19.5331883,
2460560.750000000, , ,  33.694040297, -27.265498911,  1.44505718031076,-19.4650962,
2460560.781250000, , ,  33.689427205, -27.274231906,  1.44470652471313,-19.3905134,
2460560.812500000, , ,  33.684784354, -27.282942039,  1.44435725498076,-19.3119627,
2460560.843750000, , ,  33.680124019, -27.291628274,  1.44400941874130,-19.2321193,
2460560.875000000, , ,  33.675458722, -27.300290569,  1.44366301473076,-19.1537080,
2460560.906250000,A, ,  33.670800752, -27.308929878,  1.44331799285353,-19.0793977,
2460560.937500000,C, ,  33.666161686, -27.317548115,  1.44297425613121,-19.0116979,
2460560.968750000,*, ,  33.661551942, -27.326148082,  1.44263166446418,-18.9528618,
2460561.000000000,*, ,  33.656980374, -27.334733359,  1.44229004006037,-18.9047995,
2460561.031250000,*, ,  33.652453927, -27.343308168,  1.44194917432077,-18.8690036,
2460561.062500000,*,m,  33.647977371, -27.351877209,  1.44160883591494,-18.8464922,
2460561.093750000,*,m,  33.643553112, -27.360445477,  1.44126877973414,-18.8377692,
2460561.125000000,*,m,  33.639181097, -27.369018072,  1.44092875637539,-18.8428049,
2460561.156250000,*,m,  33.634858815, -27.377599999,  1.44058852178968,-18.8610377,
2460561.187500000,*,m,  33.630581395, -27.386195975,  1.44024784672138,-18.8913953,
2460561.218750000,*,m,  33.626341789, -27.394810246,  1.43990652557356,-18.9323367,
2460561.250000000,*,m,  33.622131046, -27.403446422,  1.43956438435719,-18.9819118,
2460561.281250000,*,m,  33.617938654, -27.412107335,  1.43922128741674,-19.0378368,
2460561.312500000,*,m,  33.613752948, -27.420794931,  1.43887714267252,-19.0975824,
2460561.343750000,*,m,  33.609561559, -27.429510191,  1.43853190517779,-19.1584719,
2460561.375000000,*,m,  33.605351893, -27.438253095,  1.43818557885306,-19.2177845,
2460561.406250000,*,m,  33.601111613, -27.447022618,  1.43783821633104,-19.2728605,
2460561.437500000,*,m,  33.596829124, -27.455816770,  1.43748991691865,-19.3212045,
2460561.468750000,N,m,  33.592494014, -27.464632671,  1.43714082275475,-19.3605810,
2460561.500000000, ,m,  33.588097462, -27.473466663,  1.43679111331251,-19.3891016,
2460561.531250000, ,m,  33.583632579, -27.482314447,  1.43644099845921,-19.4052978,
2460561.562500000, ,m,  33.579094673, -27.491171251,  1.43609071034140,-19.4081772,
2460561.593750000, ,m,  33.574481437, -27.500032014,  1.43574049440960,-19.3972627,
2460561.625000000, , ,  33.569793034, -27.508891578,  1.43539059992951,-19.3726102,
2460561.656250000, , ,  33.565032097, -27.517744893,  1.43504127034651,-19.3348065,
2460561.687500000, , ,  33.560203626, -27.526587205,  1.43469273387614,-19.2849469,
2460561.718750000, , ,  33.555314797, -27.535414247,  1.43434519468462,-19.2245925,
2460561.750000000, , ,  33.550374684, -27.544222398,  1.43399882500029,-19.1557098,
2460561.781250000, , ,  33.545393914, -27.553008830,  1.43365375846105,-19.0805947,
2460561.812500000, , ,  33.540384249, -27.561771614,  1.43331008495538,-19.0017836,
2460561.843750000, , ,  33.535358138, -27.570509795,  1.43296784715594,-18.9219551,
2460561.875000000, , ,  33.530328232, -27.579223434,  1.43262703888009,-18.8438267,
2460561.906250000,A, ,  33.525306897, -27.587913600,  1.43228760534012,-18.7700495,
2460561.937500000,C, ,  33.520305731, -27.596582337,  1.43194944527373,-18.7031057,
2460561.968750000,*, ,  33.515335118, -27.605232579,  1.43161241487145,-18.6452125,
2460562.000000000,*, ,  33.510403825, -27.613868041,  1.43127633334919,-18.5982367,
2460562.031250000,*, ,  33.505518662, -27.622493074,  1.43094098994973,-18.5636221,
2460562.062500000,*,m,  33.500684213, -27.631112497,  1.43060615210208,-18.5423342,
2460562.093750000,*,m,  33.495902662, -27.639731413,  1.43027157442290,-18.5348227,
2460562.125000000,*,m,  33.491173706, -27.648355007,  1.42993700821146,-18.5410044,
2460562.156250000,*,m,  33.486494564, -27.656988352,  1.42960221107114,-18.5602662,
2460562.187500000,*,m,  33.481860082, -27.665636203,  1.42926695628507,-18.5914892,
2460562.218750000,*,m,  33.477262932, -27.674302824,  1.42893104158362,-18.6330922,
2460562.250000000,*,m,  33.472693897, -27.682991810,  1.42859429696509,-18.6830924,
2460562.281250000,*,m,  33.468142220, -27.691705956,  1.42825659126719,-18.7391826,
2460562.312500000,*,m,  33.463596023, -27.700447147,  1.42791783723584,-18.7988202,
2460562.343750000,*,m,  33.459042764, -27.709216277,  1.42757799489547,-18.8593259,
2460562.375000000,*,m,  33.454469724, -27.718013222,  1.42723707309111,-18.9179866,
2460562.406250000,*,m,  33.449864494, -27.726836837,  1.42689512914273,-18.9721611,
2460562.437500000,*,m,  33.445215458, -27.735685002,  1.42655226662559,-19.0193817,
2460562.468750000,N,m,  33.440512244, -27.744554701,  1.42620863136262,-19.0574497,
2460562.500000000, ,m,  33.435746121, -27.753442141,  1.42586440578392,-19.0845205,
2460562.531250000, ,m,  33.430910342, -27.762342891,  1.42551980187156,-19.0991746,
2460562.562500000, ,m,  33.426000404, -27.771252059,  1.42517505296245,-19.1004727,
2460562.593750000, ,m,  33.421014226, -27.780164476,  1.42483040472638,-19.0879920,
2460562.625000000, ,m,  33.415952226, -27.789074900,  1.42448610566804,-19.0618422,
2460562.656250000, ,m,  33.410817313, -27.797978212,  1.42414239752040,-19.0226614,
2460562.687500000, , ,  33.405614770, -27.806869621,  1.42379950590083,-18.9715916,
2460562.718750000, , ,  33.400352056, -27.815744843,  1.42345763159150,-18.9102339,
2460562.750000000, , ,  33.395038514, -27.824600274,  1.42311694278123,-18.8405871,
2460562.781250000, , ,  33.389685017, -27.833433123,  1.42277756856896,-18.7649701,
2460562.812500000, , ,  33.384303540, -27.842241525,  1.42243959397984,-18.6859320,
2460562.843750000, , ,  33.378906703, -27.851024615,  1.42210305668695,-18.6061538,
2460562.875000000, , ,  33.373507282, -27.859782557,  1.42176794556504,-18.5283444,
2460562.906250000,A, ,  33.368117712, -27.868516545,  1.42143420113205,-18.4551360,
2460562.937500000,C, ,  33.362749608, -27.877228750,  1.42110171786119,-18.3889822,
2460562.968750000,*, ,  33.357413314, -27.885922246,  1.42077034827364,-18.3320631,
2460563.000000000,*, ,  33.352117500, -27.894600883,  1.42043990865319,-18.2862011,
2460563.031250000,*, ,  33.346868829, -27.903269144,  1.42011018616145,-18.2527904,
2460563.062500000,*, ,  33.341671694, -27.911931968,  1.41978094707804,-18.2327433,
2460563.093750000,*,m,  33.336528050, -27.920594564,  1.41945194584680,-18.2264549,
2460563.125000000,*,m,  33.331437334, -27.929262202,  1.41912293457778,-18.2337877,
2460563.156250000,*,m,  33.326396486, -27.937940018,  1.41879367263764,-18.2540777,
2460563.187500000,*,m,  33.321400066, -27.946632808,  1.41846393595737,-18.2861596,
2460563.218750000,*,m,  33.316440464, -27.955344842,  1.41813352569775,-18.3284119,
2460563.250000000,*,m,  33.311508191, -27.964079703,  1.41780227593731,-18.3788201,
2460563.281250000,*,m,  33.306592245, -27.972840144,  1.41747006008639,-18.4350545,
2460563.312500000,*,m,  33.301680537, -27.981627979,  1.41713679577899,-18.4945603,
2460563.343750000,*,m,  33.296760355, -27.990444014,  1.41680244805412,-18.5546563,
2460563.375000000,*,m,  33.291818857, -27.999288015,  1.41646703070375,-18.6126388,
2460563.406250000,*,m,  33.286843569, -28.008158714,  1.41613060573572,-18.6658859,
2460563.437500000,*,m,  33.281822862, -28.017053857,  1.41579328097249,-18.7119592,
$$EOE
***********************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
SOLAR PRESENCE (OBSERVING SITE)
  Time tag is followed by a blank, then a solar-presence symbol:

       '*'  Daylight (refracted solar upper-limb on or above apparent horizon)
       'C'  Civil twilight/dawn
       'N'  Nautical twilight/dawn
       'A'  Astronomical twilight/dawn
       ' '  Night OR geocentric ephemeris

LUNAR PRESENCE (OBSERVING SITE)
  The solar-presence symbol is immediately followed by a lunar-presence symbol:

       'm'  Refracted upper-limb of Moon on or above apparent horizon
       ' '  Refracted upper-limb of Moon below apparent horizon OR geocentric
            ephemeris
 
 'R.A.___(ICRF), DEC____(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}
 
 'delta,     deldot,' =
   Apparent range ("delta", light-time aberrated) and range-rate ("delta-dot")
of the target center relative to the observer. A positive "deldot" means the
target center is moving away from the observer, negative indicates movement
toward the observer.  Units: AU and KM/S

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov

***********************************************************************************
