Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460559.875000000, , , 102.408214740,  16.171968121,  0.99871237013952, -2.8495998,
2460559.906250000,A, , 102.444842890,  16.170585668,  0.99866144854217, -2.7918227,
2460559.937500000,C, , 102.481416689,  16.169179655,  0.99861166120051, -2.7242629,
2460559.968750000,*, , 102.517949590,  16.167747530,  0.99856316393337, -2.6492730,
2460560.000000000,*, , 102.554456675,  16.166287494,  0.99851606738215, -2.5694911,
2460560.031250000,*,m, 102.590954080,  16.164798571,  0.99847043276116, -2.4877392,
2460560.062500000,*,m, 102.627458373,  16.163280647,  0.99842626950603, -2.4069150,
2460560.093750000,*,m, 102.663985921,  16.161734475,  0.99838353491045, -2.3298806,
2460560.125000000,*,m, 102.700552256,  16.160161641,  0.99834213576544, -2.2593528,
2460560.156250000,*,m, 102.737171480,  16.158564510,  0.99830193193795, -2.1977984,
2460560.187500000,*,m, 102.773855727,  16.156946130,  0.99826274175139, -2.1473397,
2460560.218750000,*,m, 102.810614690,  16.155310116,  0.99822434896119, -2.1096730,
2460560.250000000,*,m, 102.847455255,  16.153660512,  0.99818651105739, -2.0860034,
2460560.281250000,*,m, 102.884381233,  16.152001634,  0.99814896857516, -2.0769987,
2460560.312500000,*,m, 102.921393213,  16.150337907,  0.99811145505565, -2.0827637,
2460560.343750000,*,m, 102.958488540,  16.148673692,  0.99807370727477, -2.1028364,
2460560.375000000,*,m, 102.995661419,  16.147013120,  0.99803547534706, -2.1362053,
2460560.406250000,*,m, 103.032903133,  16.145359934,  0.99799653231689, -2.1813489,
2460560.437500000,*,m, 103.070202382,  16.143717345,  0.99795668286924, -2.2362936,
2460560.468750000,N,m, 103.107545710,  16.142087909,  0.99791577082564, -2.2986896,
2460560.500000000, ,m, 103.144918030,  16.140473427,  0.99787368513801, -2.3659013,
2460560.531250000, ,m, 103.182303192,  16.138874881,  0.99783036415057, -2.4351082,
2460560.562500000, ,m, 103.219684614,  16.137292392,  0.99778579796637, -2.5034132,
2460560.593750000, , , 103.257045907,  16.135725215,  0.99774002882782, -2.5679537,
2460560.625000000, , , 103.294371511,  16.134171774,  0.99769314949643, -2.6260117,
2460560.656250000, , , 103.331647290,  16.132629713,  0.99764529969407, -2.6751177,
2460560.687500000, , , 103.368861074,  16.131095996,  0.99759666074189, -2.7131458,
2460560.718750000, , , 103.406003125,  16.129567015,  0.99754744860249, -2.7383952,
2460560.750000000, , , 103.443066514,  16.128038736,  0.99749790559211, -2.7496556,
2460560.781250000, , , 103.480047382,  16.126506848,  0.99744829108062, -2.7462534,
2460560.812500000, , , 103.516945095,  16.124966932,  0.99739887153601, -2.7280781,
2460560.843750000, , , 103.553762264,  16.123414629,  0.99734991029549, -2.6955861,
2460560.875000000, , , 103.590504645,  16.121845809,  0.99730165745576, -2.6497836,
2460560.906250000,A, , 103.627180920,  16.120256726,  0.99725434027065, -2.5921877,
2460560.937500000,C, , 103.663802364,  16.118644168,  0.99720815442501, -2.5247687,
2460560.968750000,*, , 103.700382410,  16.117005572,  0.99716325652001, -2.4498737,
2460561.000000000,*, , 103.736936135,  16.115339131,  0.99711975805884, -2.3701374,
2460561.031250000,*, , 103.773479682,  16.113643859,  0.99707772116378, -2.2883800,
2460561.062500000,*,m, 103.810029634,  16.111919626,  0.99703715618958, -2.2074998,
2460561.093750000,*,m, 103.846602384,  16.110167170,  0.99699802132477, -2.1303613,
2460561.125000000,*,m, 103.883213503,  16.108388063,  0.99696022419628, -2.0596851,
2460561.156250000,*,m, 103.919877138,  16.106584652,  0.99692362541581, -1.9979442,
2460561.187500000,*,m, 103.956605474,  16.104759968,  0.99688804393153, -1.9472682,
2460561.218750000,*,m, 103.993408260,  16.102917613,  0.99685326397946, -1.9093619,
2460561.250000000,*,m, 104.030292441,  16.101061617,  0.99681904336735, -1.8854399,
2460561.281250000,*,m, 104.067261886,  16.099196284,  0.99678512277289, -1.8761799,
2460561.312500000,*,m, 104.104317241,  16.097326030,  0.99675123569891, -1.8816968,
2460561.343750000,*,m, 104.141455905,  16.095455209,  0.99671711870346, -1.9015383,
2460561.375000000,*,m, 104.178672127,  16.093587950,  0.99668252151190, -1.9347021,
2460561.406250000,*,m, 104.215957230,  16.091727997,  0.99664721662301, -1.9796747,
2460561.437500000,*,m, 104.253299941,  16.089878561,  0.99661100804055, -2.0344895,
2460561.468750000,N,m, 104.290686826,  16.088042207,  0.99657373879534, -2.0968019,
2460561.500000000, ,m, 104.328102801,  16.086220745,  0.99653529696937, -2.1639799,
2460561.531250000, ,m, 104.365531716,  16.084415169,  0.99649561999112, -2.2332044,
2460561.562500000, ,m, 104.402956971,  16.082625612,  0.99645469703723, -2.3015779,
2460561.593750000, ,m, 104.440362153,  16.080851348,  0.99641256944858, -2.3662356,
2460561.625000000, , , 104.477731666,  16.079090814,  0.99636932914473, -2.4244552,
2460561.656250000, , , 104.515051329,  16.077341675,  0.99632511509749, -2.4737612,
2460561.687500000, , , 104.552308921,  16.075600908,  0.99628010799870, -2.5120204,
2460561.718750000, , , 104.589494650,  16.073864926,  0.99623452332665, -2.5375233,
2460561.750000000, , , 104.626601528,  16.072129707,  0.99618860307693, -2.5490501,
2460561.781250000, , , 104.663625638,  16.070390954,  0.99614260647466, -2.5459175,
2460561.812500000, , , 104.700566289,  16.068644258,  0.99609680002473, -2.5280045,
2460561.843750000, , , 104.737426038,  16.066885268,  0.99605144728141, -2.4957580,
2460561.875000000, , , 104.774210596,  16.065109858,  0.99600679873033, -2.4501749,
2460561.906250000,A, , 104.810928604,  16.063314285,  0.99596308217111, -2.3927642,
2460561.937500000,C, , 104.847591309,  16.061495333,  0.99592049397024, -2.3254893,
2460561.968750000,*, , 104.884212123,  16.059650435,  0.99587919152017, -2.2506921,
2460562.000000000,*, , 104.920806114,  16.057777775,  0.99583928719439, -2.1710037,
2460562.031250000,*, , 104.957389428,  16.055876354,  0.99580084403104, -2.0892430,
2460562.062500000,*,m, 104.993978663,  16.053946032,  0.99576387331091, -2.0083084,
2460562.093750000,*,m, 105.030590237,  16.051987528,  0.99572833412296, -1.9310670,
2460562.125000000,*,m, 105.067239754,  16.050002399,  0.99569413493425, -1.8602437,
2460562.156250000,*,m, 105.103941405,  16.047992973,  0.99566113710378, -1.7983174,
2460562.187500000,*,m, 105.140707425,  16.045962265,  0.99562916020528, -1.7474251,
2460562.218750000,*,m, 105.177547620,  16.043913859,  0.99559798895442, -1.7092804,
2460562.250000000,*,m, 105.214468990,  16.041851769,  0.99556738147407, -1.6851074,
2460562.281250000,*,m, 105.251475464,  16.039780286,  0.99553707858018, -1.6755938,
2460562.312500000,*,m, 105.288567744,  16.037703813,  0.99550681373162, -1.6808645,
2460562.343750000,*,m, 105.325743284,  16.035626699,  0.99547632326168, -1.7004772,
2460562.375000000,*,m, 105.362996380,  16.033553064,  0.99544535649879, -1.7334387,
2460562.406250000,*,m, 105.400318395,  16.031486651,  0.99541368538768, -1.7782438,
2460562.437500000,*,m, 105.437698087,  16.029430674,  0.99538111324220, -1.8329325,
2460562.468750000,N,m, 105.475122043,  16.027387700,  0.99534748229373, -1.8951657,
2460562.500000000, ,m, 105.512575190,  16.025359551,  0.99531267974604, -1.9623146,
2460562.531250000, ,m, 105.550041376,  16.023347229,  0.99527664210425, -2.0315618,
2460562.562500000, ,m, 105.587503988,  16.021350884,  0.99523935761193, -2.1000094,
2460562.593750000, ,m, 105.624946590,  16.019369804,  0.99520086670305, -2.1647901,
2460562.625000000, ,m, 105.662353551,  16.017402444,  0.99516126045120, -2.2231771,
2460562.656250000, ,m, 105.699710651,  16.015446488,  0.99512067707575, -2.2726891,
2460562.687500000, , , 105.737005618,  16.013498933,  0.99507929663848, -2.3111854,
2460562.718750000, , , 105.774228606,  16.011556207,  0.99503733413429, -2.3369477,
2460562.750000000, , , 105.811372568,  16.009614308,  0.99499503124058, -2.3487468,
2460562.781250000, , , 105.848433532,  16.007668952,  0.99495264704185, -2.3458890,
2460562.812500000, , , 105.885410747,  16.005715746,  0.99491044808525, -2.3282436,
2460562.843750000, , , 105.922306718,  16.003750346,  0.99486869814864, -2.2962473,
2460562.875000000, , , 105.959127106,  16.001768635,  0.99482764811390, -2.2508879,
2460562.906250000,A, , 105.995880513,  15.999766871,  0.99478752633436, -2.1936663,
2460562.937500000,C, , 106.032578152,  15.997741839,  0.99474852986634, -2.1265389,
2460562.968750000,*, , 106.069233415,  15.995690969,  0.99471081690158, -2.0518425,
2460563.000000000,*, , 106.105861358,  15.993612435,  0.99467450069160, -1.9722046,
2460563.031250000,*, , 106.142478126,  15.991505230,  0.99463964519735, -1.8904426,
2460563.062500000,*, , 106.179100331,  15.989369197,  0.99460626263165, -1.8094557,
2460563.093750000,*,m, 106.215744410,  15.987205043,  0.99457431298871, -1.7321130,
2460563.125000000,*,m, 106.252426003,  15.985014303,  0.99454370557911, -1.6611442,
2460563.156250000,*,m, 106.289159340,  15.982799290,  0.99451430251099, -1.5990339,
2460563.187500000,*,m, 106.325956705,  15.980562997,  0.99448592398397, -1.5479269,
2460563.218750000,*,m, 106.362827957,  15.978308990,  0.99445835519204, -1.5095454,
2460563.250000000,*,m, 106.399780155,  15.976041266,  0.99443135457031, -1.4851232,
2460563.281250000,*,m, 106.436817285,  15.973764099,  0.99440466306877, -1.4753580,
2460563.312500000,*,m, 106.473940108,  15.971481879,  0.99437801409672, -1.4803851,
2460563.343750000,*,m, 106.511146130,  15.969198942,  0.99435114375619, -1.4997717,
2460563.375000000,*,m, 106.548429698,  15.966919403,  0.99432380097128, -1.5325342,
2460563.406250000,*,m, 106.585782216,  15.964646999,  0.99429575712486, -1.5771754,
2460563.437500000,*,m, 106.623192476,  15.962384945,  0.99426681483280, -1.6317422,
$$EOE
***********************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
SOLAR PRESENCE (OBSERVING SITE)
  Time tag is followed by a blank, then a solar-presence symbol:

       '*'  Daylight (refracted solar upper-limb on or above apparent horizon)
       'C'  Civil twilight/dawn
       'N'  Nautical twilight/dawn
       'A'  Astronomical twilight/dawn
       ' '  Night OR geocentric ephemeris

LUNAR PRESENCE (OBSERVING SITE)
  The solar-presence symbol is immediately followed by a lunar-presence symbol:

       'm'  Refracted upper-limb of Moon on or above apparent horizon
       ' '  Refracted upper-limb of Moon below apparent horizon OR geocentric
            ephemeris
 
 'R.A.___(ICRF), DEC____(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}
 
 'delta,     deldot,' =
   Apparent range ("delta", light-time aberrated) and range-rate ("delta-dot")
of the target center relative to the observer. A positive "deldot" means the
target center is moving away from the observer, negative indicates movement
toward the observer.  Units: AU and KM/S

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov

***********************************************************************************
